#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2024-05-06T13:36:33 [V7.33.3]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO service_protocol=ASU   IVOID of the protocol through which the data was retrieved
#INFO request_date=2024-05-06T13:36:33   Query execution date
#INFO request=https://vizier.cds.unistra.fr/viz-bin/asu-txt?-oc.form=sexa&-out.max=unlimited&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/ApJ/682/964/table4,J/ApJ/682/964/notes,J/ApJ/682/964/table5&-order=I&-out=SDSS&-out=zFG&-out=zBG&-out=Re&Sloan=Sloan&   Full request URL (POST)
#INFO contact=cds-question@unistra.fr   Email or URL to contact publisher
#INFO server_software=7.33.3   Software version
#INFO publisher=CDS   Data centre that produced the VOTable
#INFO CatalogsExamined=3 
#  3 catalogues with potential matches were examined.
#
#RESOURCE=yCat_16820964
#Name: J/ApJ/682/964
#Title: Sloan lens ACS survey. V. (Bolton+, 2008)
#INFO ivoid=ivo://cds.vizier/j/apj/682/964     IVOID of underlying data collection     
#INFO creator=Bolton A.S.     First author or institution     
#INFO cites=bibcode:2008ApJ...682..964B     Article or Data origin sources     
#INFO editor=Astrophysical Journal (AAS)     Editor name (article)     
#INFO original_date=2008     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/682/964     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.16820964     Dataset identifier that can be used for citation     
#INFO publication_date=2009-11-07     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJ_682_964_table4:
#Name: J/ApJ/682/964/table4
#Title: SLACS HST-ACS target observational data
#---Details of Columns:
#    SDSS        (a18)   SDSS name (HHMMSS.ss+DDMMSS.s) (1) [ucd=meta.id;meta.main]
#    zFG         (F7.4)  Foreground galaxy redshift (directly from SDSS database) [ucd=src.redshift]
#    zBG         (F7.4)  Background galaxy redshift (measured as described in Bolton et al. 2004AJ....127.1860B) [ucd=src.redshift]
#    Re (arcsec) (F5.2)  ? Effective radius (6) [ucd=phys.angSize]
#------------------ ------- ------- -----
#                                   R    
#                                   e (ar
#SDSS               zFG     zBG     csec)
#------------------ ------- ------- -----
121826.70+083050.3  0.1350  0.7172  3.18
124426.03+011146.8  0.0725  0.5600  2.83
125028.26+052349.1  0.2318  0.7953  1.81
125050.52-013531.7  0.0871  0.3526  2.93
125135.71-020805.2  0.2243  0.7843  2.61
125919.05+613408.6  0.2334  0.4488  1.81
131326.70+050657.2  0.1438  0.3385  0.86
133045.53-014841.6  0.0808  0.7115  0.89
134308.25+602755.0  0.1198  0.3199  2.07
134309.22+605209.7  0.0343  0.0880  4.91
140228.21+632133.5  0.2046  0.4814  2.70
140329.49+000641.4  0.1888  0.4730  1.46
141622.34+513630.4  0.2987  0.8111  1.43
142015.85+601914.8  0.0629  0.5351  2.06
143004.10+410557.1  0.2850  0.5753  2.55
143039.86+511530.9  0.1337  0.4503  1.81
143213.34+631703.8  0.1230  0.6643  5.85
143609.50+493927.3  0.1225  0.3145  2.13
143627.54-000029.2  0.2852  0.8049  2.24
144319.62+030408.2  0.1338  0.4187  0.94
144858.24-011614.6  0.1474  0.7807  1.39
145128.19-023936.4  0.1254  0.5203  2.48
145218.94-005820.2  0.1770  0.5131  0.85
151505.14+612848.3  0.2421  0.3800  1.20
152009.08-003457.3  0.1140  0.3954  1.61
152444.37-005209.1  0.1524  0.7323  1.62
152506.70+332747.4  0.3583  0.7173  2.90
152524.63+011401.7  0.1294  0.6269  1.59
153150.07-010545.7  0.1596  0.7439  2.50
153530.38-003852.3  0.1613  0.6585  1.23
153711.26+412554.6  0.1423  0.6811  2.07
153812.92+581709.8  0.1428  0.5312  1.58
154100.77+413058.7  0.1423  0.5033  1.15
154731.22+572000.0  0.1883  0.3958  2.53
155003.12+525846.7  0.0491  0.7396  2.04
160453.49+335546.2  0.0786  0.3500  2.59
161437.74+452253.3  0.1779  0.8113  2.58
161843.10+435327.4  0.1989  0.6657  -1.0 
162132.99+393144.6  0.2449  0.6021  2.14
162746.45-005357.6  0.2076  0.5241  1.98
163028.16+452036.3  0.2479  0.7933  1.96
163339.26-001256.2  0.0702  0.2060  2.28
163602.62+470729.6  0.2282  0.6745  1.68
170013.98+622109.7  0.1228  0.3584  1.53
170216.76+332044.8  0.1785  0.4357  3.66
170603.69+330400.9  0.1682  0.7736  1.38
171723.13+573948.2  0.1144  0.5748  2.08
171837.40+642452.2  0.0899  0.7366  -1.0 
211112.27-003826.5  0.1933  0.4761  -1.0 
211949.65-074201.7  0.1704  0.5262  1.91
212151.12+120312.9  0.1434  0.4862  1.61
214154.68-000112.3  0.1380  0.7127  1.81
220218.32-084648.0  0.1613  0.5011  1.13
220956.93-075447.9  0.1112  0.2148  0.71
222537.34+125957.6  0.3103  0.6571  0.74
223840.20-075456.0  0.1371  0.7126  2.33
224155.71+122814.0  0.0998  0.7173  4.55
230053.15+002238.0  0.2285  0.4635  1.83
230220.18-084049.5  0.0901  0.2224  2.25
230321.72+142217.9  0.1553  0.5170  3.28
232120.93-093910.3  0.0819  0.5324  4.11
234111.57+000018.7  0.1860  0.8070  3.15
234728.08-000521.3  0.4169  0.7145  1.40
